Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C5,C6",3,100n,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,~
C2,1,100p,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,~
"C3,C4",2,10n,,,,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,~
"R1,R2",2,4K7,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~
R3,1,5K6,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~
R4,1,2.7M,,,,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,~
R5,1,100,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~
R6,1,10k,,,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~
TP1,1,Vin_LOW_PASS,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP2,1,GND_Vin_LP,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP3,1,Vin_NOTCH,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP4,1,GND_Vout_LP,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP5,1,Vout_LOW_PASS,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP6,1,GND_Vin_NOTCH,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP8,1,Vout_Notch,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP9,1,+Vcc_TP,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
TP10,1,-Vcc_TP,,,,TestPoint:TestPoint_Keystone_5005-5009_Compact,~
U1,1,TL072,,,,Package_DIP:CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,http://www.ti.com/lit/ds/symlink/tl071.pdf
