"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C2,C3,C5,C6,C7,C8,C9","8","100n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C4","1","47u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"DISPLAY1","1","~","","","","mis_footprints:DISPLAY_128X64",""
"ESP32","1","~","","","","mis_footprints:ESP32_MODULE",""
"HEADER_2X1","1","~","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"LM2596","1","~","","","","mis_footprints:LM2596_MODULE",""
"LPC845","1","~","","","","mis_footprints:LPC845_MODULE",""
"MAX30102","1","~","","","","mis_footprints:MAX30102",""
"POWER_SWITCH3","1","~","","","","Button_Switch_THT:SW_CK_JS202011CQN_DPDT_Straight",""
"Q1","1","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R2","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4,R5","2","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6,R7","2","4.7k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
